Role,Company,Location,Contract,Salary,Job_description
Data Science Intern,Echobox,London,Internship,NA,"You will work closely with our Data Scientists and gain valuable AI/ML skills while being in charge of your own cutting edge NLP project. At the end of your internship you will present in front of the Echobox tech team. Responsibilities: Lead the entire life-cycle of a cutting edge AI/ML project. Create and execute a presentation for your project, to be delivered in front of the tech team. Assist your team in day-to-day jobs and projects. About Echobox: We are a fast-growing, research-driven company building an artificial intelligence that helps online publishers overcome the challenges they face every day. Using novel machine learning techniques, we are revolutionising the publishing industry and have a track record of building things that others have ruled out as impossible. Leading names from around the world rely on our product every day, including The Times, Le Monde, The Guardian, Vogue and many more. Our team is our best asset. We work with extremely smart and talented individuals, who all enjoy a high degree of responsibility and independence in structuring their work. Do you think you have what it takes to be part of Echobox? We'd love to hear from you. About our work: To get a better insight into the kind of work we do check out our data showcases (https://showcase.echobox.com) and our open-source project on Github (https://ebx.sh/gh). Requirements: Academic Qualifications Recent graduate or current student at a top-tier university. Required Skills and Experience Good, demonstrated NLP experience. Good experience with ML tools/packages in python, java or similar. An ability and desire to learn new skills quickly. Self starter and ability to work independently. Fluent written and spoken English."
Insurance Data Scientist,Datatech Analytics,London,NA,"£30,000 a year","Insurance Data Scientist– Negotiable Salary – Plus Benefits – London – J10378  This is a key role in ensuring the successful delivery of the company’s pricing strategy across a high volume product portfolio. You will work as part of a Data Science team to deliver the pricing strategy and innovative pricing models. A customer service giant requires your considerable talents, who has a strong market presence wishing to consolidate and improve their performance.  Role & Responsibilities Using advanced analytic and machine learning techniques evolve and continuously improve the company’s pricing models Contribute to the ongoing development of the overall pricing strategy. Be able to analyse, communicate and explain pricing recommendations. Ensure technically and commercially viable solutions are delivered Monitor performance, profitability and competitor behaviour Ensure that pricing recommendations result in fair treatment. Help build and maintain pricing optimisation. Deliver comprehensive pricing analyses and modelling projects.  Experience & Skills Required Educated to degree level in a numerate subject. Proficient of a range of programming and statistical tools, including R ,Python and SQL Possess a high level of numerical accuracy Experience with machine learning tools Able to explain complex pricing and data science theories to non-technical colleagues Have the ability to build machine learning models Demonstrate the ability to actively implement statistical tests and analyses Knowledge Previous modelling and analytics experience essential.  If you fit the above job description, please contact Roisin McCarthy on 01256 314 660 or email her on rmccarthy@datatech.org.uk. Please be advised that we can only accept candidates who have the right to work in the UK.  Alternatively, you can refer a friend or colleague by taking part in our fantastic referral schemes! If you have a friend or colleague who would be interested in this role, please refer them to us. For each relevant candidate that you introduce to us (there is no limit) and we place, you will be entitled to our general gift/voucher scheme. Datatech is one of the UK’s leading recruitment agencies in the field of analytics and host of the critically acclaimed event, Women in Data UK. For more information visit our website: www.datatech.org.uk"
Data Science Manager,Datatech Analytics,London,NA,"£30,000 a year","Data Science Manager – Negotiable Salary – Plus Benefits – London –J10377  A great opportunity awaits an ambitious, experienced DS who is able to deliver against tight and changing deadlines and priorities. You will be an active team member in the data science team delivering pricing strategies using advanced analytics. The rewards will be many working for a highly successful customer service provider in London.  Role & Responsibilities Be a key contributor to the on-going development of the pricing strategy. Lead a team of data scientists and pricing analysts to achieve the business’ pricing objectives. Continuously improve the company’s pricing models using advanced analytics. Deliver comprehensive pricing analyses and modelling projects Monitor performance, profitability and competitor behaviour Ensure technically and commercially viable solutions are delivered Undertake ad-hoc tasks as required.  Experience & Skills Required Educated to degree level in a numerate discipline. Capable of using machine learning and data science techniques. Be able to analyse, communicate and explain pricing recommendations in a way that will influence key stakeholders. Experience of specialist pricing software Be proficient of a range of programming and statistical tools, including R ,Python and SQL Great communication skills with the ability to convey complex findings to on-technical parties. Have a high level of numerical accuracy. Understand and actively implement statistical tests and analyses. Demonstrate experience with machine learning tools. Possess pricing experience or similar product lines, across various distribution channels. Previous modelling and analytics experience is crucial. Able to deliver against tight and changing deadlines and priorities. If you fit the above job description, please contact Roisin McCarthy on 01256 314 660 or email her on rmccarthy@datatech.org.uk. Please be advised that we can only accept candidates who have the right to work in the UK.  Alternatively, you can refer a friend or colleague by taking part in our fantastic referral schemes! If you have a friend or colleague who would be interested in this role, please refer them to us. For each relevant candidate that you introduce to us (there is no limit) and we place, you will be entitled to our general gift/voucher scheme. Datatech is one of the UK’s leading recruitment agencies in the field of analytics and host of the critically acclaimed event, Women in Data UK. For more information visit our website: www.datatech.org.uk"
Artificial Intelligence Engineer / Data Scientist,Deerfoot,London,Permanent,"£50,000 - £110,000 a year","Artificial Intelligence Engineer / Data Scientist / Data Engineer  10+ roles at various level’s, ranging from £35k - £90k dependant on experience + bonus + good bens. Flexible Working Location  This role may suit individuals who have perhaps previously held the following role titles: Data Engineer, Data Architect, Big Data Consultant, Data Scientist, Data Modeller, Big Data Analyst, AI Engineer  We have been asked to assist in the recruitment of a Bid Data Engineer to join an innovative and growing team within the data practice of this prestigious global technology consulting firm. Our client offers good career path, professional development and a coveted personalised benefits package. Candidates must have UK security clearance, and be fully flexible on working location.  The successful engineer will be a key member within a team designing the modern analytical data solutions, engaging in the full life cycle of projects. This will be a hands-on and diverse role, with an exciting variety of work.  Key Skills – Again, we are recruiting at various level’s so not expecting candidates to be experienced in all of the areas outlined below. AI techniques (e.g. supervised and un-supervised machine learning techniques, deep learning, graph data analytics, statistical analysis, time series, geospatial, NLP, sentiment analysis, pattern detection, etc.) Python, R or Spark to extract insights from data SQL for accessing and processing data (PostgreSQL preferred but general SQL knowledge more important) latest Data Science platforms (e.g. Databricks, Dataiku, AzureML, SageMaker) and frameworks (e.g. Tensorflow, MXNet, scikit-learn) Software engineering practices (coding practices to DS, unit testing, version control, code review) Hadoop (especially the Cloudera and Hortonworks distributions), other NoSQL (especially Neo4j and Elastic), and streaming technologies (especially Spark Streaming) Deep understanding of data manipulation/wrangling techniques Experience using development and deployment technologies, for instance virtualisation and management (e.g. Vagrant, Virtualbox), continuous integration tools (e.g. Jenkins, Concourse, Drone, Bamboo), configuration management tooling (e.g. Ansible) and containerisation technologies (e.g. Docker, Kubernetes, Swarm) Delivering insights using visualisation tools or libraries (Javascript preferred) Experience building and deploying solutions to Cloud (AWS, Azure, Google Cloud)"
ML Engineer / Data Scientist,Venturi,London,Permanent,"£55,000 - £65,000 a year","Machine Learning Engineer (Data engineering/ Data Science)  ML Engineer / Data Scientist is required for a tech-driven company in a stunning London location. This is a diverse opportunity for a data scientist / machine learning engineer to join a fantastic company, who are global leaders in their industry. You’ll be working on an exciting data-centric product and have exposure to the entire lifecycle of the product.  What’s in it for you as the ML Engineer / Data Scientist:  The ML Engineer / Data Scientist will have a competitive salary of up to £65,000 Being part of an award winning, tech driven company Gym membership Generous holidays, plus your birthday Healthcare and eyecare benefits Being part of a data – driven and dynamic team Working with a modern tech stack New stylish office location What you’ll be doing in this ML Engineer/ Data Scientist: You will be applying NLP and other machine learning techniques to large amounts of data and performing analysis You will be required to be consultative, and explain complex ideas to non-technical audiences You will be focused on production (not only researching) You’ll be implementing prototypes and working in a Big Data environment Essential skills of the ML Engineer/ Data Scientist: 2 years of commercial experience Exposure to NLP Good experience with machine learning and Data Science Great programming skills in Python, R, Java or Scala Very good communicative skills Ability to work well in a close-knit team Practical Knowledge of SQL/Nosql databases Relevant Bachelor’s degree in ML, Computer Science, Mathematics, statistics etc Beneficial skills of the ML Engineer/ Data Scientist Experience with deep learning, text mining or neural nets Exposure to technologies such as tensorflow, decision trees, spark Masters or PHD in relevant subject As you can see this is a well-rounded and diverse opportunity to improve skills in all areas and join an innovative data-driven company.  To apply for this position please send a recent CV to: georgia.bright@venturi-group.com  Keywords for search – Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java, Big Data, NLP, Machine Learning, Python, Data Scientist, Numpy, Scipy, Sklearn, ML, tensorflow, decision trees, computer science, statistics, spark, scala, R, neural nets, deep learning, SQL, NoSQL, Java  Venturi (TVGL Inc.) is an equal opportunity employer and does not discriminate on the basis of age, colour, sex (including pregnancy), gender, gender identity, genetic information, marital status, military/veteran status, national origin, ancestry, race, creed, religion, sexual orientation, transgender status, non-disqualifying physical or mental disability, domestic violence victim status, criminal or arrest record, unemployment status, or any other basis protected by applicable law."
Natural Language Processing Engineer PhD,Cortex IT Recruitment,London,NA,"£40,000 - £75,000 a year","The Company The company have excellent roots within research surrounding new information retrieval and machine learning based approaches. They are revolutionising the way we look at web search and automation of services through the research and development of standouts within the Natural Language Processing NLP/Machine Learning field. Each member of the team are standouts within the ML field, coming from world class institutions specialising in research of Machine Learning/NLP, with outstanding PhD's in the field. Based right outside Old Street station in Central London, you will be immersing yourself with experts in the Machine Learning space. The Role This is a unique chance to work with a team of PhD candidates with excellent commercial experience within the Natural Language Processing domain, building the next revolution within web search. You will: Develop unique entity extraction techniques for web crawlers and scrapers. Understand and analyse semantic relationships. Work on real-time scraping and semantic extraction of web data within an ever changing environment. Be expected to demonstrate your findings to national and international research venues. Requirements A PhD relating to the knowledge of and intuition for NLP, knowledge representation and entity extraction or something similar. Alternatively you could have experience working within NLP commercially. Solid programming skills or use of NLP Tools such as GATE. Job Owner: c.rogers"
Junior Data Scientist (X3),Quintex Consulting,London,NA,NA,"Our client is a household name in the energy sector. They currently have a need for a Junior Data Scientist in their exciting new team which aims to bring Renewable Energy and AI together to create cheaper and more efficient energy to their customers.  The successful candidate will be shadowing a senior Data Scientist along with two of other candidates. The team currently consists of 3 Senior Data Scientists and one lead Data Scientist. Responsibilities:Working with team and developers to improve data visualisation & reporting Develop predictive models and algorithms, such as budget forecasting Mine large & growing volumes of data from 3rd party tech vendors Find actionable insights to drive ongoing improvements and fuel business growth across markets Guide next steps at various points in product lifecycle Detect market opportunities Key Requirements:Knowledge of Python and PySpark, in particular packages such as Pandas, Numpy, SciPy, Matplotlib (or equivalent). Experience selecting, developing and refining machine-learning models. Knowledge and/or interest in Natural Language Processing. Demonstrable proficiency in statistical data analysis and data visualisation. Experience handling varied and complex data sources to draw accurate and insightful conclusions. A desire to work with Big Data technology, as well as with Graph databases would be an advantage. Confidence to proactively build relationships with both internal teams and external vendors, and ability to communicate effectively with both technical and non-technical audiences. Self-starting attitude, ability to thrive in an autonomous environment. Experience: 1.5 years or more"
Data Scientist - Machine Learning,Metrica Recruitment,West London,NA,"£50,000 - £55,000 a year","The Company A leading ecommerce retailer, who have achieved continuous recognition since being established 5 years ago, they hold analytics at the forefront of driving the business forward. Their unprecedented growth means it would be the perfect time to join this innovative company as this exciting opportunity could propel your career to the next level. The Role As a Data Scientist you will be using advanced machine learning and optimisation techniques to build tools that will lead to effective business improvements. Your work will range from optimising the warehouse to algorithmically designing recipe menus based on customers' taste. About YouAn experienced data scientist with the ability to interpret large data sets to generate actionable insightAn excellent communicator who is able to explain complex models to stakeholders RequirementsExperience with machine learning techniquesStrong coding skills; ability to develop algorithms, build models as well as productioniseCommercial data science experience Job Owner: d.prosser"
Data Scientist,Bulb,London,NA,NA,"Bulb is a technology-led renewable energy company. Bulb is making energy simpler, cheaper, greener for its members. Our Data Science group is responsible for the full lifetime our our data products; from sourcing data, analysis and reporting, training and deploying Machine Learning models; there are huge opportunities to apply Data Science right across Bulb. Bulb cares deeply about helping the technology industry become a more inclusive and diverse place and we work hard to lead by example. Responsibilities:Analyse data and report results to help inform decision making Use data insights to design and build Machine Learning algorithms Design and perform experiments to test the effectiveness of products we build and actions we take Requirements At Bulb we want to hire people with the experiences necessary to get going quickly, but who are also interested in learning new things and are comfortable working in a changing environment. Here are some of the things we think will be valuable, but we're also open-minded. If you recognise yourself any of these traits then we’d love for you to send us an application: Masters/PhD or equivalent experience in a quantitative field such as Statistics, Computer Science, Applied Sciences or Operational Research 2+ years experience applying Machine Learning to real-world problems Comfortable coding in Python and SQL Experienced with cloud infrastructure (GCP, AWS, Azure) Comfortable with challenging prescribed thinking Exceptional communication skills, able to communicate complex ideas in a simple fashionBenefitsBe part of a growing technology startup and help shape the future of energy Collaborative, flexible, and friendly environment Competitive salary, share options, and bonus 33 days holiday a year (including bank holidays) and the option to buy up to 5 more 12 weeks of full pay for maternity, paternity or adoption leave £1000 training budget + 5 days training days per year Healthcare, life insurance, and a pension plan with employer contributions Cycle to work scheme; activities to improve your mental & physical well being, including office yoga and meditation; monthly team socials One month sabbatical leave after your first year Tea, coffee, fruit and snacks throughout the day Free breakfast on Mondays"
Big Data DevOps Engineer,Linux Recruit,London,Contract,£600 - £650 a week,"We are working with a leading services provider in the UK who are currently looking for a Big Data/DevOps to join the team. This would be a long term contract working onsite for a large FinTech organisation.  This gives someone the chance who is looking to work further in the DevOps space with Big Data tools. You will be working with YARN and Spark and must have a very strong understanding of the Hadoop ecosystem. With regards to the DevOps tools someone with a knowledge of Puppet/Chef, Jenkins and Python would be extremely suitable.  You will be responsible for managing the whole data science technology stack, implementing and deploying the data science process and controlling and improving the Spark code.  If you are looking to improve your knowledge within the DevOps arena while having a strong Big Data background, then this would be a great position for you. It will give you the chance to work with some of the strongest Engineers in the UK building a Global Big Data function.  Please note that no terminology in this advert is intended to discriminate on the grounds of age, and we confirm that we will gladly accept applications from DevOps Engineers of any age for this role. LinuxRecruit are a leading open source specialist and provides services as an agency and an employment business."
DATA SCIENCE CONSULTANT LONDON,managementsolutions,London,NA,NA,"United Kingdom DATA SCIENCE CONSULTANT LONDON  London / Graduate / Number of vacancies: 5You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models (Monte Carlo), Review of credit rating and scoring models and quant support to the business and R&D projects. Requirements Recent graduates or final year students from disciplines relating to Mathematics, Physics, Statistics, Econometrics or other Quantitative fields. Postgraduate studies and/or specialised courses are an asset, especially in Data Science, Quantitative Finance or similar. Should desirably have knowledge of modeling techniques (logit, GLM, time series, decision trees, random forests, clustering), statistical programming languages (SAS, R, Python, Matlab) and big data tools and platforms (Hadoop, Hive, etc.). Solid academic record. Strong computer skills. Knowledge of other languages is desirable. Get-up-and-go attitude, maturity, responsibility and strong work ethic. Strong ability to learn quickly. Able to integrate easily into multidisciplinary teams.We Offer The best environment to develop talentWe offer you the possibility to join a firm that provides all you need to develop your talent to the fullest: Working in the highest-profile consulting projects in the industry, for the largest companies, leaders of their respective markets, alongside top industry management as they face challenges at the national and global level, as part of an extraordinary team of professionals whose values and corporate culture are a benchmark for the industry Ongoing training plan, with approximately 10% of business turnover spent in training Specialist knowledge courses, external expert courses, professional skills courses, and language courses. Last year our staff as a whole received over 250,000 hours of training, spanning more than 575 courses.Clearly defined career plan Internal promotion based solely on merit. Partnership-based management model offers all professionals the opportunity to become part of the Firm’s group of partners.Complementary experiencies University: we maintain a close relationship with the world’s most prestigious universities. Social Action: we organize more than 30 community support activities. Sports Club: internal and external tournaments.More on Management Solutions Management Solutions is an international consulting firm whose core mission is to deliver business, risk, financial, organisational and process-related advisory services, targeting both functional aspects and the implementation of related technologies. Discover our Londres office 6 Bevis Marks EC3A 7BA London United Kingdom (+44) 20 74 69 68 00 Location Share this job Follow us  linkedin/management-solutions  facebook/MngmtSolutions  youtube/management-solutions  instagram/management.solutions  Mngmt_Solutions Are you a student? If you are in the final years of your degree, we would also like to hear from you. Management Solutions has agreements with the most prestigious universities to offer students their first experience with the business world. The Firm offers paid work experience and flexible hours with the possibility of students becoming part of the Firm upon graduation. Other open positions in London BUSINESS CONSULTANT LONDONDATA SCIENCE CONSULTANT LONDONNEW TECHNOLOGIES AND DIGITAL TRANSFORMATION CONSULTANT LONDON"
Senior Data Scientist,Bumble,London,NA,NA,"We strongly encourage people of color, lesbian, gay, bisexual, transgender, queer and non-binary people, veterans, parents, and individuals with disabilities to apply. Bumble is an equal opportunity employer and welcomes everyone to our team. If you need reasonable accommodation at any point in the application or interview process, please let us know. In your application, please feel free to note which pronouns you use (For example - she/her/hers, he/him/his, they/them/theirs, etc).Bumble is looking for a Senior Data Scientist to join our team and assist us in using data science to deliver effective results. Together with us you will develop machine learning models to serve a variety of areas within the business; Product, Marketing, Billing teams and so on. With millions of images and messages exchanged on our platform every day, there is a wealth of opportunity to make a real difference in this role and help people to find love all over the world! The ideal candidate combines strong business acumen, extensive experience in machine learning applications along with a passion for tech. KEY ACCOUNTABILITIES Deliver impactful business results through the development and delivery of cutting-edge machine learning models Leverage Big Data tools and techniques in order to build innovative solutions using appropriate modelling techniques Assist in driving improvements to our current prediction modelling infrastructure in terms of process, performance and testing Work with large, complex data sets whilst solving challenging business problems Collaborate with internal business stakeholders, data scientists and engineers in order to identify improvement opportunities from an AI perspective REQUIRED SKILLS AND KNOWLEDGE Demonstrable experience implementing machine learning models; from initial conception right through to the final productionalised model Extremely confident in terms of programming and scripting (strong Python essential) High familiarity with libraries such as scikit-learn, tensorflow, keras, pandas, numpy Strong statistical modelling background Python web development (Tornado, Flask) experience is desirable Ability to combine business intuition with the application of advanced solutions A passion for keeping up with the latest ongoings in Data Science and Machine Learning communities A curious mind, self-starter and endlessly keen to learn and develop themselves professionally Please apply by submitting your resume along with a cover letter explaining your potential impact on Bumble and why you’re the ideal candidate for this role! As growth is one of our core values, the ideal candidate will be able to strategically make data-driven decisions to drive Bumble's success and growth.To learn more about life at the Bumble Hive, click here: https://thebeehive.bumble.com/careers/ Applicants are expected to have current work authorization in the country that the role is located. ABOUT BUMBLE Bumble, the women-first social networking platform, was founded by CEO Whitney Wolfe Herd in 2014. With nearly 90 million users, Bumble connects people across dating, friendship and professional networking. No matter the type of relationship, women make the first move on Bumble. Bumble recognizes the importance of relationships and how crucial they are to a healthy, happy life. They've built their platform around kindness, respect, and equality – and their users play an important part in that. Bumble holds its users accountable for their actions and has zero tolerance for hate, aggression or bullying. Bumble is available in 150 countries. Since 2014, Bumble has facilitated over a billion women-led first moves and over fifteen billion messages sent. Bumble is free and available in the App Store and Google Play."
Senior Data Scientist PhD – Canary Wharf,Nexus Recruitment,London,"Full-time, Contract",£400 - £475 a day,Job Description Senior Data Scientist PhD – Canary Wharf  We urgently require a Senior Data Scientist with at least 5 to 10 years proven track record as Data Scientist.  Must have a PhD ideally in Maths or Physics and an excellent understanding of data analytics.  The Client would also like to see experience of managing and leading a team of Data Scientists.  Should have experience of SCALA/SPARK and Hadoop.  Initially this is a 3 month contract assignment in Canary Wharf – with likelihood that it will go on beyond that point.  Location is Canary Wharf London.  Please send your CV to us in Word format along with daily rate.
Big Data Lead,Linux Recruit,London,Permanent,"£80,000 - £95,000 a year","You will work as a Big Data Lead Developer, joining an intelligent and experienced information analytics team.  You're someone who is an agile advocate, a functional programming whiz and excited by working in a complex big data environment with a heavy focus on Machine Learning.  Whilst leading a team and making critical decisions moving forward, you will also have hands on responsibilities with a modern tech stack featuring Scala, Spark, Kafka and cloud infrastructure with AWS.  Your platform will focus on behavioral and transactional data, providing insight for the data science and engineering teams within a successful and respected global organisation.  You're someone who will influence, mentor and engage a team of experienced experts in the big data field whilst building and maintaining robust big data applications.  You will also have hiring responsibilities, building and growing a team and giving positive direction to ensure you're working in an environment which stimulates the talented big data engineers within your team.  If you're not phased by changing environments and technologies and happy to communicate, be proactive and use your leadership to show direction in how this works within a team, then you're the person for the job!"
"Head of Engineering (DevOps, Cloud, Data Analytics, Machine Lea",Linux Recruit,London,Permanent,"£95,000 - £125,000 a year","Head of Engineering (DevOps, Cloud, Data Analytics, Machine Learning)  Building a start up from scratch is exciting. But terrifying.  The vision is there, but lack of funds, tiny teams of engineers all with ridiculous workloads, the pressure of not yet making any revenue all makes it difficult. The inability to do anything, or actually get any products to market, or having a VC peering over your shoulder all add to the risk.  Building that same start up however, funded by an established organisation, alleviates all those concerns.  Sitting as effectively an incubator within a global cash rich company means you can adopt that vital technology, you can hire that great Engineer you've interviewed, you can get a great product to market quickly without needing to cut corners. You have all the tools and funds at your disposal to ensure great products are built quickly, marketed well and you can see the fruits of your hard labour.  We have an opportunity to work with a genuine market leader, building a start up within (fully autonomous) to begin their next phase of market domination. Revolution and Disruption may be applicable terms.  We're looking for someone who can combine hands on technical experience with Cloud, DevOps, Data Analytics and Machine Learning along with the ability to manage and motivate (and hire) a talented team of Engineers. Currently sitting at 1 DevOp, 2 Data Engineers and 2 Software Engineers.  Terms that will excite you are Infrastructure as Code, Containerisation, Cloud, Data Science, Machine Learning. You will have experience either in Data or DevOps from a hands on perspective and the role will give you opportunity to get exposure to their other.  Please get in touch with me here, or at | 07794 035 241"
Machine Learning Researcher,Venturi,Greater London,Contract,£500 - £600 a day,"Machine Learning Researcher London  3-6 Months Initially  £500 – £600 per day D.O.E  This is an exciting opportunity for an experienced Machine Learning Researcher to work in a dynamic, fast paced and supportive environment for a leading Software Company in Central London on an initial 3-6 months contract.  Key skills required for the Machine Learning Researcher include: Demonstrates a high level of initiative and consistently delivers high-quality answers. Has an enquiring mind and a disciplined scientific approach to extracting facts and understanding observed behaviour. Is excited by the potential of realising high-value commercial outcomes and change the way that the advertising business operates. Want to be part of a high-growth start-up company with global ambitions. Comfortable with JavaScript and C++ so that they can effectively interact with the rest of the team. Knowledge of Python, Java or C# is also strongly encouraged. Has a proven track record implementing data driven product and a broad understanding of the state of the art in machine learning. Comfortable working in an open source setting. Able to create and deploy machine learning pipelines. Has a passion for helping protect users’ privacy and security. A Ph.D. in computer science is highly preferred, but we may consider some exceptions. Technical skills required for the Machine Learning Researcher include: Logistic Regression, Decision Trees, Random Forest, Naive Bayes, Clustering, etc. and a good grasp of the strengths and weaknesses of specific approaches. Basic data cleansing and preparation, variable preprocessing/transformation. Univariate analysis, performing statistical tests, covariance analysis, multivariate analysis and linear/non-linear regression. Preparation of data sets for predictive modelling, robust predictive model building, validation and application. Automation of statistical processes and integration into a bigger product. Experience in Hadoop technologies such as Hive / Impala and distributed data pipelines such as Airflow / Luigi. The culture is one that promotes creativity and the ability to think outside of the box. To apply for this role please urgently send an update of your CV to tom.goulding@venturi-group.com .  Venturi is a staffing business dedicated to you, differentiating ourselves in the marketplace by quality of service and candidate delivery. Our highly skilled and experienced staff operate within dedicated markets to give you the best service possible. Venturi markets include Business Intelligence, Development IT & Legal IT. Venturi operates as an employment agency and employment business. No terminology in this advert is intended to discriminate on the grounds of age, and we confirm that we are happy to accept applications from persons of any age for this role."
Senior Linux/DevOps Engineer with focus on Big Data,Linux Recruit,London,Permanent,"£70,000 - £75,000 a year","Want to jump on the Machine Learning and Artificial Intelligence bandwagon but actually for a credible Software house? Well here's your chance.  If you're a Senior Infrastructure Developer or DevOps Engineer or even Linux Engineer (DevOps Ninjas need not apply) then this will be right up your street. Would you get excited if your job was to be building out scalable solutions in the cloud as well as deploying software into clients' infrastructure then this has YOU written all over?  What about the tech? AWS. Python. Terraform. Kafka. K8s. Chef/Puppet/Ansible to name but a few. Don't worry if you don't have all of the tech listed it's not about that, this is just an example of what you would be getting to play *ahem* work with on a day to day basis.  So let's summarise, do you want to be building seamless deployment and maintaining site reliability to help scale? Want to work within Data Science and Engineering teams and actually bring new technologies to the forefront of the company? Also, want to focus on infrastructure as code still and do all the cool DevOpsy work?  If you're still interested then get in touch and hit apply today."
Data Science Consultant - R& Python,Metrica Recruitment,London,NA,"£45,000 - £60,000 a year","The Company:  A technology consultancy with a nationwide presence throughout the UK, proven expertise within Enterprise Management Software, Technical Delivery and Business Consulting. Over the last few years this company has grown exponentially and has a developed a wide reaching client base operating within the Financial Services, Utilities and Central Government industries just to name a few. Undoubtedly this opportunity will provide a great platform for an experienced Data Scientist to widen their skill-set across a variety of sectors.  The Role:  As a Data Science Consultant you will be focused on the delivery of a variety of analytical projects; including building and optimising classifiers using machine learning techniques, implementing innovative data mining and statistical analysis, and creating automated anomaly detection systems.  Your role will bridge the gap between advanced data science methodology and management strategy of businesses, with a core responsibility being explaining technical outcomes to non-technical stakeholders.  The successful candidate is likely to have: Strong academic record, ideally in a STEM based degree. Technical expertise within R or Python, knowledge of a programming language is a necessity. Effective stakeholder management and communication skills. Expert knowledge of data science methodology; unsupervised and supervised machine learning, NLP. Job Owner: t.stillwell"
Senior Data Scientist,Streetbees,London,NA,NA,"Streetbees is building the world's first real-time platform for market data insights. We connect our clients with real time data on the behaviours and opinions of their customers provided by our users. Using the Streetbees app, we broadcast our clients' requests to our thousands of ""bees"" on the ground in over 150 countries. Within hours, our bees return deep insights through their smartphones to our internal data science wizards who then deliver this data back to our clients via a custom visualised web dashboard. Right now we're looking for a Senior Data Scientist to work directly alongside our Head of Data Science to innovate, productionalise and deploy our products across our broad client base. This is a unique opportunity to be part of a small, hugely talented team. You will be instrumental in helping to shape what Streetbees becomes over time, working alongside our Engineers, Product and Business teams to architect, visualise and interpret critical data and ensure the most accurate and innovative data models and tools are produced and deployed.Requirements Send us your CV if you have:*Minimum 3 years experience in a commercial Data Science role Great understanding of standard NLP models and experience implementing them in a practical business context. Sound understanding of machine learning and other Data Science principles. Good software engineering and coding skills in Python and preferably a second language, like C++ Scoping data science projects across the business and defining the workflow from end to end. Good knowledge of and experience with Numpy, Pandas, Scikit, NLTK, SpaCy, Scikit-learn, TensorFlow.' Developing and testing machine learning models using the latest data mining, statistical and machine learning techniques. Working closely with Engineers team to productionize models. Good interpersonal ability and are able to communicate your findings to the wider business including executives and stakeholders. Let us know if:You’re an ‘evangelist’ for Data Science, you love spending time writing blogs, contributing to projects and attending events in the Data Science community (We do too!) You’re familiar with any other programming languages You have pursuits outside of work that you believe would be useful in our mission (No wrong answers!)Here are some of the interesting technical challenges you’ll be working on:Being part of a greenfield project, designing a new data science library and tool stack from scratch. Developing novel techniques for customer analysis at large scale. Investigating and implement cutting-edge machine learning techniques, in particular in NLP. Working on real-world problems, with immediate client impact and feedback.ABOUT US Our Mission is to make human data accessible - anywhere in the world. With the support of our world-class clients and the trust of our global community, Streetbees has gone on to provide insights from 87 countries since 2015. People from all over the world are now getting paid to do simple tasks such as sharing their local knowledge, and providing quality, real-time information to some of the world’s most loved brands. BenefitsWe offer a 24-day holiday allowance with the option to rollover a total of three unused days to the next calendar year. Amazing office in the middle of the City complete with a pool table and games room; An external training or conference budget of £500; All staff are auto enrolled into our company pension scheme provided by the People’s Pension. We all come together for a Free lunch every Wednesday with a different cuisine each week; Fully Stocked Kitchen; Friday Catch-ups - Beers, soft drinks and wine provided as we chat through our successes and welcome newcomers; Choose your own device - Mac or PC, Paid volunteering days, 1 day per quarter, with a registered charity of your choice; Game room with Nintendo Switch, big screen TV + Mario Kart; Audible subscription; Yoga evenings once a week."
